,,,人口密度,人口,面積(km2),
289,秋田県,能代市,117.0347816,49968,42695,2.651924182
290,秋田県,横手市,123.4916282,85555,69280,2.677197013
291,秋田県,大館市,75.81634217,69237,91322,2.277426766
292,秋田県,男鹿市,104.3344809,25154,24109,2.553130385
293,秋田県,湯沢市,53.21844458,42091,79091,2.020103389
294,秋田県,鹿角市,41.11261872,29088,70752,1.834003446
295,秋田県,由利本荘市,61.76225002,74707,120959,2.128087306
296,秋田県,潟上市,324.6009005,31720,9772,3.435381964
297,秋田県,大仙市,89.59148121,77657,86679,2.415278576
298,秋田県,北秋田市,26.19625941,30198,115276,1.606547961
299,秋田県,にかほ市,97.18823871,23435,24113,2.500287191
300,秋田県,仙北市,22.50448078,24610,109356,1.530729466
301,秋田県,小坂町,23.69856222,4780,20170,1.556002298
302,秋田県,上小阿仁村,8.035992521,2063,25672,1.163124641
303,秋田県,藤里町,10.26477156,2896,28213,1.213670304
304,秋田県,三種町,61.51302524,15254,24798,2.125789776
305,秋田県,八峰町,28.09003161,6577,23414,1.636415853
306,秋田県,五城目町,39.72640983,8538,21492,1.811028145
307,秋田県,八郎潟町,328.4117647,5583,1700,3.449167145
308,秋田県,井川町,95.22419187,4566,4795,2.47960942
309,秋田県,大潟村,17.70031156,3011,17011,1.43882826
310,秋田県,美郷町,110.5810361,18613,16832,2.601378518
311,秋田県,羽後町,59.90553774,13825,23078,2.100516944
312,秋田県,東成瀬村,13.27507487,2704,20369,1.323951752
313,山形県,山形市,649.3312352,247590,38130,3.936243538
314,山形県,米沢市,148.1322127,81252,54851,2.815048823
315,山形県,鶴岡市,93.28712705,122347,131151,2.458931648
316,山形県,酒田市,166.2957312,100273,60298,2.895462378
317,山形県,新庄市,154.5075163,34432,22285,2.831131534
318,山形県,寒河江市,289.0671078,40189,13903,3.377943711
319,山形県,上山市,120.8234757,29110,24093,2.656519242
320,山形県,村山市,114.3060209,22516,19698,2.63354394
321,山形県,長井市,123.6455956,26543,21467,2.679494543
322,山形県,天童市,549.8141922,62140,11302,3.842044802
323,山形県,東根市,230.4146129,47682,20694,3.184951177
324,山形県,尾花沢市,40.18736746,14971,37253,1.820218265
325,山形県,南陽市,189.5090954,30420,16052,2.996553705
326,山形県,山辺町,223.352319,13725,6145,3.159678346
327,山形県,中山町,344.975923,10746,3115,3.51579552
328,山形県,河北町,336.3393708,17641,5245,3.490522688
329,山形県,西川町,12.6045932,4956,39319,1.29178633
330,山形県,朝日町,32.34591738,6366,19681,1.700746697
331,山形県,大江町,49.62357217,7646,15408,1.967260195
332,山形県,大石田町,82.68795575,6577,7954,2.350947731
333,山形県,金山町,31.36636358,5071,16167,1.686961516
334,山形県,最上町,24.45742652,8080,33037,1.578977599
335,山形県,舟形町,42.06502562,5007,11903,1.843193567
336,山形県,真室川町,19.24803591,7203,37422,1.468696152
